id,SAMPLE_1,X,Y,angulo
296,491,687325.3572576521,7643024.935085277,328.43698041392514
297,514,686899.4197983717,7643498.161354339,13.821020131203426
298,508,685870.9957038816,7643283.609735016,191.13745511047082
299,506,687008.0667971384,7644149.976536401,63.537709234031844
300,514,686918.3189058577,7643785.377124059,52.70768464372695
301,493,686336.5657408924,7642743.596361739,245.45658188452433
302,505,687061.9241065689,7643196.816635699,329.47189370556555
303,504,687081.4694135777,7643215.140231861,332.52746102827143
304,503,686881.8291573,7643015.1790243415,298.3881398065027
305,494,687380.6089008955,7643299.574027006,349.24661436614406
306,498,686742.6164623209,7642825.483023225,278.28197164681177
307,518,686503.6009684138,7643458.351119082,172.14248269350577
308,513,686968.8969810043,7643484.071862853,8.370758677269503
309,501,687334.1162412232,7643565.855704071,10.666640083407808
310,514,686299.2579114158,7643889.1009231545,128.12165240357984
311,496,687345.1867538419,7643372.331199743,354.60418021279935
312,494,687377.6129819918,7643227.914984422,343.84555651048385
313,498,687239.2177140042,7643135.852246914,332.73843137711674
314,498,686115.1504430645,7642904.775700891,224.70756698082246
315,510,685905.3933711736,7643347.333390769,186.88478696914086
316,493,686833.8797844877,7642707.318839221,283.8727975714445
317,513,687028.5822816492,7643669.977479388,31.773153808896968
318,516,686487.426509998,7643882.6150136385,110.46820386885356
319,507,687292.0627491634,7643824.646182669,31.21699378604644
320,515,686216.6746329933,7643628.843049444,156.36335058492128
321,505,687355.5659266219,7643680.611696336,19.088205410631303
322,515,686888.0144609254,7643627.767254397,39.02985758034158
323,510,686968.8934732793,7644063.144859698,63.2412980800816
324,516,686681.709289802,7643980.712181712,87.02697992017963
325,507,686357.4669479202,7643064.571515718,231.56890753227253
326,504,687129.3490634388,7643279.897557945,341.6570627875348
327,516,686321.3062852893,7643484.3749643015,171.9959433297821
328,509,687277.6429673175,7643857.027719281,33.89756516860866
329,514,686132.1494825839,7643550.800464628,167.756345854231
330,502,686266.894335709,7643074.634778363,223.19813817450776
331,513,686775.8969741936,7644018.383017492,78.09863636833767
332,502,686010.2921358485,7643052.875793959,210.88899417031655
333,499,687263.9848896982,7643319.477993399,349.0433915934286
334,516,686796.6695982753,7643735.924951285,64.35925487876798
335,499,686333.0707838093,7642966.493867521,235.78100022674158
336,517,686315.6567622565,7643811.153314917,132.13164764079087
337,514,687010.0796037798,7643637.75970156,29.29955729251028
338,514,686278.2177464464,7643453.345926347,177.60711626518028
339,507,686763.9989135677,7643078.164695075,287.0849954250374
340,503,685954.7414449048,7643106.491356037,205.35812432795626
341,518,686525.2199169034,7643621.822735692,124.86115410163086
342,502,686353.4600294256,7642973.549835227,237.11765603968377
343,516,686762.2036063083,7643899.698997547,76.76140404558804
344,498,686486.6324733483,7642864.077335284,253.77871513451606
345,493,687345.2171113053,7643139.589864443,336.6877357460161
346,508,685894.322826768,7643301.951435169,190.1351727866529
347,518,686771.5884853667,7643827.245978607,73.13790562702982
348,515,686393.7952289922,7643438.858491444,179.73634640520706
349,513,686546.2281908004,7644114.899751579,99.00114123069521
350,490,687256.5298421842,7642938.485812374,320.3823686826131
351,517,686517.7213636636,7643882.371311707,106.97920161920632
352,517,686781.6869013823,7643479.339131263,18.010975294108903
353,499,686409.1803691621,7642900.434984204,245.54450098887685
354,489,687219.994428108,7642892.643887328,316.1065520817318
355,513,686752.9230438098,7644112.965309422,81.62512669976094
356,494,687448.9627895659,7643454.116870987,1.1849544932829703
357,501,686119.1419715445,7642982.295168775,220.43660736312174
358,515,686932.076987012,7643433.6964005465,359.18413491052684
359,516,686430.5019827485,7643418.508428848,184.90938580957828
360,520,686578.3036923726,7643687.963668859,106.72275064935896
361,512,686593.2481547804,7644156.916297849,94.78894222230954
362,505,687168.2487570484,7643584.678936403,15.939849391262129
363,508,687030.735748118,7644109.370619493,60.68148213162895
364,502,687285.7883965248,7643483.229748623,4.121976236050562
365,501,686155.5081408452,7643002.747748082,221.13164969909198
366,515,686242.5074678118,7643483.753590124,173.60146534364935
367,513,686412.5921129663,7643384.6398086,192.41254313518692
368,498,686289.4195073538,7642981.975578232,231.37578614688925
369,511,686942.2470495724,7644051.962924279,64.82490560575528
370,515,686848.319991087,7643669.02969185,49.90206387620505
371,507,687151.1570600871,7643475.658042472,4.365944230469862
372,516,686504.4395585769,7643411.543286593,189.93874918020097
373,498,686481.8092095987,7642890.245548652,252.58607147103027
374,519,686575.0211031238,7643760.080378919,103.68118287970829
375,503,685979.2145302437,7643080.580359538,207.9042623066849
376,515,686251.1028431593,7643675.55953256,149.40888918600078
377,510,686724.8971616824,7644218.778961162,84.77785927606567
378,498,686316.1182370407,7642971.844530544,234.08459879151613
379,493,686278.8601619735,7642732.709510365,242.01172776993792
380,510,685985.5304813682,7643620.875226369,164.6621414856426
381,501,687039.8670480679,7643051.034235151,314.98014783473025
382,490,686953.503516059,7642724.746689332,292.82152513662686
383,505,687155.3398635526,7643358.409200115,351.0254548253712
384,504,685979.1398279136,7643171.179794663,201.5620356914168
385,495,686890.4658213119,7642832.300786587,291.37711289714036
386,491,687244.7578906177,7643009.1440084595,324.0666825739301
387,494,686872.16586204,7642741.501009111,287.43716948650086
388,511,686005.7266450609,7643665.796506027,160.59889123056792
389,510,687167.5758596015,7643869.283256429,40.01724929720819
390,501,687243.5141178119,7643390.629402207,355.442162563126
391,494,686677.9705884086,7642724.385161389,271.9644289400083
392,513,686469.8991549191,7644083.379428536,105.8728725358688
393,518,686748.8421020012,7643600.718160177,59.685629471121366
394,515,686667.275069529,7644085.213145035,88.78185926168439
395,511,686421.7712292246,7643185.504777038,227.41690154283856
396,510,687073.5854335799,7643561.821266629,16.46546044941977
397,511,686787.101818268,7644213.938118828,80.23510995308563
398,490,686539.82585909,7642661.853307903,261.6637445030273
399,504,686498.8805539615,7643007.240444203,250.23967876925224
400,512,686305.3361592378,7644096.2250547195,117.86459306438758
401,512,686526.740099958,7643260.285227203,234.44800917073394
402,505,686020.7981100767,7643146.785692539,204.68988738244795
403,510,685963.1663702902,7643391.562280514,183.82056030278895
404,512,686512.1490898276,7643222.769055984,236.66324206028142
405,521,686461.4567524934,7643786.674333281,118.82250785314194
406,511,685867.4212718924,7643365.999473667,185.20900926533255
407,509,687206.0275599558,7643948.163019461,42.736223993713914
408,499,687273.8942357108,7643314.372900637,348.7599908784261
409,505,687078.0678106836,7643314.014829327,343.76243937913057
410,516,686466.899954041,7643854.711097234,114.10587388862335
411,511,686821.9661120267,7644053.8615533225,74.7097196015327
412,513,686457.4835508907,7644092.859232867,106.65618568129544
413,516,686278.0213832712,7643532.805097781,165.78142131152933
414,516,686846.9748186887,7643806.090972163,62.295087794107005
415,496,686236.5141516615,7642869.317760299,233.7327404692877
416,495,686971.8756080982,7642902.303697242,300.73927546604784
417,509,686807.5775005795,7643156.061236405,298.6842029951395
418,512,686348.8739335402,7643332.6501186965,199.02019839111514
419,514,686613.3107858018,7643262.566119874,257.07130430981306
420,518,686763.2451184131,7643743.637222902,70.26931541880359
421,505,686868.6592170869,7643097.766567209,302.3336667272022
422,513,686226.458694862,7643415.808113629,182.92970953725325
423,516,686197.7097144092,7643467.209252355,176.29113052580203
424,497,687259.9556726079,7643184.1496499,337.31365190283515
425,506,685917.8105652211,7643685.065036274,161.41309204789906
426,512,686296.4059402925,7644088.513322792,118.7521166308255
427,510,686243.3215364063,7644110.668190827,121.36154773025098
428,513,686565.0012758161,7644120.262504725,97.38764250757998
429,519,686621.3777759718,7643730.207831238,96.26724652475244
430,508,686069.8184445755,7643185.428134218,203.37115689851325
431,490,687250.108484227,7642924.632354809,319.3070824551986
432,507,687318.6981605972,7643689.438506926,20.731637359043752
433,496,686482.7253124183,7642780.242712144,255.43794542243714
434,503,686477.4911516963,7642978.6801699465,249.01877947383326
435,519,686714.2470581271,7643876.015753348,82.1109105858688
436,490,686614.7728874562,7642643.233689939,267.20872483015046
437,505,685915.2196830655,7643185.8924421845,198.8304477669557
438,491,687010.1859489256,7642751.458132444,297.4648016788678
439,513,686848.2877592603,7643949.330824517,69.15912457428362
440,510,686642.1183986537,7644189.584833018,90.86763796899201
441,496,687395.175196193,7643475.145858162,2.8931505783366167
442,507,686016.6057288675,7643868.239744192,145.93933350537446
443,518,686684.0914357634,7643585.307181603,78.29622058462252
444,515,686237.5344640724,7643464.554252674,176.3012063718283
445,513,686489.6623252096,7644115.463530597,103.5893212430736
446,515,686168.5624939441,7643555.766189277,166.31267178726281
447,496,687168.6374989331,7643047.238000061,322.84101589167017
448,498,686946.177787136,7642978.170194739,302.494909934346
449,511,686167.2277816186,7643341.432090274,191.19384086553532
450,499,686729.8316814981,7642854.904691916,277.4617571621999
451,501,687145.8527596334,7643203.628185384,334.57610804310104
452,492,687237.3343284085,7642958.644960721,320.63188076886115
453,507,686109.1095208627,7643213.09791013,202.41633193340223
454,511,686050.2703479144,7643423.703822567,181.32565461006914
455,509,687118.4705225548,7643578.419033254,16.84228237796282
456,500,686288.1114746202,7642994.31895448,230.50544111605106
457,492,687265.5846772708,7643007.28636858,324.8874245649599
458,513,686906.7608598617,7643950.2393596815,63.70679937326536
459,507,687014.0550187876,7644100.567781591,61.45852400760241
460,513,686158.1111125579,7643779.7968916055,145.36994665455555
461,507,687134.3033026819,7643438.518786757,0.1019356027571827
462,508,687249.0417431943,7643856.572614505,35.123144547106584
463,516,686626.438582892,7643996.422141607,92.7733281792307
464,517,686705.6936824335,7643718.336586247,79.46679603435165
465,516,686523.2240359299,7643406.981309639,193.25200797999906
466,504,687225.7245598807,7643613.443291678,17.07643361178668
467,511,686947.7885622388,7643660.570989695,37.14248674207564
468,495,686923.3688470579,7642814.833227145,293.4263735423897
469,507,686985.0485643515,7644149.050515468,65.01206925550292
470,506,687005.3072395117,7644137.245385664,63.30337080588411
471,512,686368.8997147155,7644144.767112696,111.92455917407844
472,515,686893.6332398744,7643603.203017316,34.581686110288985
473,501,686907.0667201711,7643006.58470359,300.4640933731473
474,514,686599.5229685329,7643358.47804362,235.7167089067151
475,493,686917.1596920423,7642739.438537228,290.6868428315149
476,512,686087.3708686645,7643434.531650214,180.31694537515446
477,511,686556.029623996,7644206.573122632,97.22495121055209
478,496,686867.5685913183,7642783.042902472,288.1079005646432
479,502,686229.0153221815,7643032.9084971575,223.63665484666882
480,518,686584.246141765,7643618.298649566,110.97793568047075
481,517,686396.0828588569,7643793.603399145,125.8751989415157
482,510,685983.0015233004,7643559.341331065,169.71433817575976
483,520,686354.968810048,7643704.993594889,138.15657737837185
484,512,687035.8007142886,7643735.410090146,37.912891075895
485,493,687253.115153921,7643042.948553769,326.6436267331866
486,491,687069.8133837515,7642831.360286573,304.4747737814755
487,493,686856.7614424772,7642755.497406043,286.5917622481898
488,517,686384.6661619132,7643558.973512488,155.71338422857414
489,515,686424.1402189893,7644030.779707607,111.14210998130552
490,511,686833.1738977104,7644049.084248652,73.62438854279661
491,502,686698.5015966644,7642937.55843404,275.1412223833279
492,505,685985.1059293768,7643867.796440458,147.23764109984958
493,513,686385.9625672735,7644062.728940909,113.17209445881643
494,512,687167.2998350549,7643987.766875025,46.95466776276939
495,494,687077.7319924702,7642929.260686662,309.84262051664354
496,510,686225.5549522066,7644107.572775007,122.57120895548863
497,505,686323.1841637862,7643155.549872852,220.49922361163885
498,491,687408.353819515,7643197.142395496,342.3263023503135
